date,exercise,set_number,reps_numerator,reps_denominator
2020-06-24,forearm roller,3,2,2
2020-06-24,wall slides,1,6,6
2020-06-24,wall slides,2,6,6
2020-06-24,Compressives,1,1,1
2020-06-24,Compressives,2,1,1
2020-06-24,Compressives,3,1,1
2020-06-24,ladder set,1,10,10
2020-06-24,ladder set,2,7,7
2020-06-24,ladder set,3,5,5
2020-06-25,pistol squat (lvl 2),1,12,12
2020-06-25,pistol squat (lvl 2),2,10,12
2020-06-25,pistol squat (lvl 2),3,9,12
2020-06-25,glute ham hinge (1 Leg),1,12,12
2020-06-25,glute ham hinge (1 Leg),2,12,12
2020-06-25,glute ham hinge (1 Leg),3,12,12
2020-06-25,calf raise (Black),1,30,30
2020-06-25,calf raise (Black),2,30,30
2020-06-25,calf raise (Black),3,25,30
2020-06-25,bent leg calf raise,1,20,20
2020-06-25,bent leg calf raise,2,20,20
2020-06-25,titanium ankles,1,1,1
2020-06-25,titanium ankles,2,1,1
2020-06-25,titanium ankles,3,1,1
2020-06-25,Ab Rollouts,1,1,1
2020-06-25,Ab Rollouts,2,1,1
2020-06-25,Ab Rollouts,3,1,1
2020-06-25,Compressives,1,1,1
2020-06-25,Compressives,2,1,1
2020-06-25,Compressives,3,1,1
2020-06-25,ladder set,1,10,10
2020-06-25,ladder set,2,7,7
2020-06-25,ladder set,3,5,5
2020-06-26,Chin ups,1,2,10
2020-06-26,Chin ups,2,2,10
2020-06-26,Chin ups,3,2,10
2020-06-26,(N) pushup,1,6,10
2020-06-26,(N) pushup,2,6,10
2020-06-26,(N) pushup,3,6,10
2020-06-26,Kettlebell Band Rows (Green),1,8,8
2020-06-26,Kettlebell Band Rows (Green),2,8,8
2020-06-26,Kettlebell Band Rows (Green),3,8,8
2020-06-26,dip shrugs,1,8,8
2020-06-26,dip shrugs,2,8,8
2020-06-26,scapular pushups (Black),1,8,8
2020-06-26,scapular pushups (Black),2,8,8
2020-06-26,Superman (Flutter Kicks),1,60,60
2020-06-26,Superman (Flutter Kicks),2,60,60
2020-06-26,forearm roller,1,3,3
2020-06-26,forearm roller,2,2,2
2020-06-26,forearm roller,3,2,2
2020-06-26,wall slides,1,6,6
2020-06-26,wall slides,2,6,6
2020-06-26,Ab Rollouts,1,1,1
2020-06-26,Ab Rollouts,2,1,1
2020-06-26,Ab Rollouts,3,1,1
2020-06-26,Compressives,1,1,1
2020-06-26,Compressives,2,1,1
2020-06-26,Compressives,3,1,1
2020-06-26,ladder set,1,10,10
2020-06-26,ladder set,2,7,7
2020-06-26,ladder set,3,5,5

